Spam_Bot Grammar_Score Emoji_Score Lure_Flag Sentiment
Robot -2.11008118336807 -2.89168062623025 red Positive
Human -0.537689746299192 -1.7567736486247 grey Neutral
Human 0.585025467401246 -0.613300376577042 grey Neutral
Robot -0.456371247659246 -1.69643118147884 red Neutral
Robot -0.428162464404812 -0.263637946607825 grey Neutral
Robot -1.30372332192454 0.188782944717197 blue Neutral
Human -0.704339851225645 -1.63906662112812 grey Neutral
Robot 1.63707714685946 2.61875149006759 grey Neutral
Human 0.735570979847444 -1.41444746163432 red Neutral
Human 2.33603412829922 -0.00054902201864071 grey Negative
Human 1.6143030071083 -0.583747097800298 grey Neutral
Robot -0.233443253958854 1.18422024356923 blue Neutral
Human 2.12588228918598 -0.192531864869165 grey Positive
Robot -0.381991833570338 4.46734844392169 red Neutral
Human -2.12867513432919 -0.455550849023928 grey Negative
Human 1.08014340064893 -2.9308292674184 grey Neutral
Robot 1.38555594940169 -0.350661947021594 grey Negative
Robot 2.20135730763676 -2.39822360682322 grey Neutral
Robot -1.71864152351466 -0.426740892316702 red Negative
Human 0.869418024288428 -0.86509099152412 grey Negative
Robot 0.535330990939156 -1.00654404987078 grey Neutral
Human 1.56591926456626 0.0363952059692703 grey Neutral
Robot -3.27524548777688 1.5230670866704 grey Neutral
Robot 0.568880250658524 -1.94916382607091 grey Neutral
Human 0.538917265255119 -1.3750963813144 red Neutral
Robot -1.19223267379659 3.72369373287853 grey Neutral
Robot -0.885237554530461 -1.91568977087452 red Negative
Human 2.07512449198204 -0.0140833127951144 red Neutral
Robot -2.71715181477828 -0.574118667231812 grey Neutral
Robot 0.704488290548786 3.94401746234303 grey Negative
Human -0.875619281793984 -0.809009818785865 grey Positive
Human 1.7350780060777 -1.36638181822379 red Positive
Robot -0.526268821358431 2.79527091510784 grey Neutral
Robot -0.364466211511474 2.5777301755876 grey Positive
Human 0.910365443184709 -0.797182905223859 red Negative
Human 1.27662965748187 -0.0934435613093663 grey Neutral
Human 1.52196441832558 -0.597354739432999 grey Neutral
Robot -2.07685536459241 3.06048852507147 red Negative
Human -0.80086743894375 -1.38332351541484 grey Negative
Robot -1.15933364275264 3.45792573353373 grey Neutral
Robot -0.298570120616127 3.110054368472 grey Neutral
Human 1.03570992676845 -0.882407406255117 grey Negative
Robot -0.932244470649814 -0.632404727057221 grey Positive
Human -0.962810490937459 -2.06896083166002 red Negative
Robot -1.93199482527376 1.80069323720757 blue Positive
Robot -0.91952249507743 -0.116091082070112 red Neutral
Human -0.662553291127276 -1.13280528711782 grey Neutral
Human 0.458479204692761 -0.8169103917334 grey Neutral
Robot -2.35153305711591 2.3413110253705 grey Neutral
Robot 0.0955555936249237 0.176036771543909 grey Neutral
Robot -0.706832915560376 3.57008689309456 red Neutral
Human 1.91672736266136 -0.493598865621229 grey Positive
Robot -1.73901730038674 -2.73599483973477 grey Neutral
Human 0.09593007154461 -0.829463930635609 grey Positive
Robot -3.13673016156402 2.5107250787188 red Negative
Human -0.0436245523761034 -0.522315090219986 blue Neutral
Human 0.002610315636983 -1.91146259996954 grey Neutral
Human -2.28068493968673 -2.17825361239626 grey Neutral
Human 1.10115368166588 -3.85376957656886 grey Negative
Robot -0.414615989254869 -1.95617206780414 grey Neutral
Human -1.52043855562671 0.0572046070938577 grey Negative
Robot -1.85020578215756 -2.35731891297014 grey Negative
Human -0.463699629045158 -1.86961800190701 grey Positive
Robot -1.15104178797401 2.16035942928332 grey Neutral
Human 0.805953182419374 -2.03319127006353 grey Neutral
Robot -0.683489820144625 -3.20805055908832 grey Neutral
Robot 0.574118618535432 -1.55732972800096 red Neutral
Robot -0.0879141001248475 -0.561929748880613 grey Positive
Robot -2.06551515707536 -0.982566467073497 red Positive
Robot -1.04162726230276 3.29049027305809 grey Positive
Human -1.32408508021595 0.294865269145045 grey Neutral
Robot -2.03290031168448 1.75630074862024 grey Neutral
Robot -0.295522975777961 0.677292541338137 grey Negative
Human -0.690220329352669 -1.08249307854176 grey Positive
Human 0.312921823265395 -0.935854906333732 grey Neutral
Robot 5.57175531683728 -1.42463128017494 grey Neutral
Robot -0.768157560264858 -1.47133774498399 grey Neutral
Human 1.62341461585147 -2.14236783898925 grey Negative
Human 0.377506695216688 -1.9655619948792 grey Negative
Human 2.79198257745674 -0.3646331384267 grey Neutral
Robot -1.06039478979232 3.11638392627431 red Neutral
Robot -1.41133886240561 2.44234566738857 grey Neutral
Human 1.31485824950062 0.181276701246891 grey Neutral
Human 1.04778421302033 0.468621129149996 grey Neutral
Robot -2.65109384337274 1.34393271920846 grey Neutral
Robot -0.794085534113319 4.09618731706812 grey Neutral
Robot -1.76865728817421 -1.37087478267115 blue Neutral
Human 1.1986907718175 0.00827177638743182 grey Negative
Human -2.09128768717645 -1.03423480920486 grey Negative
Human 1.13901154220813 -1.23712281470348 grey Positive
Human 0.356596308091338 0.431281997827984 grey Negative
Robot 2.21898154100447 -2.0094086286176 red Neutral
Robot -2.06828910482562 3.73786304519618 grey Neutral
Human 0.73684092987522 0.000668047231857871 grey Positive
Robot 1.77054450973457 -0.521462620869497 grey Neutral
Robot 1.94737064088338 -1.13130115078469 grey Neutral
Human -1.0190003313602 -0.292849995796836 grey Neutral
Human 1.69150865079365 -0.857847449976395 grey Neutral
Human 0.0953750110850483 -1.85258658355313 grey Negative
Human 1.999346359528 0.0751615258720943 grey Negative
Robot -1.27712617203725 2.33212091127032 grey Neutral
Human 1.90692576617886 -1.9756060563735 grey Positive
Human 0.305462481061211 0.387113862206469 grey Positive
Robot -1.39047595504273 1.7060744766838 grey Negative
Human 1.12847123961323 -1.76435767937142 grey Neutral
Human 1.35188047825691 -0.583362333477068 grey Neutral
Robot 0.415505337278314 -1.3015286133454 blue Positive
Human 1.19894477560353 -1.49220539695285 grey Positive
Human 1.85955670562792 0.0666197223257627 grey Neutral
Robot -1.17121979297909 -1.85001706779087 red Neutral
Human 0.950213914667507 -0.817159214092531 red Positive
Human 0.358295029152527 -1.14673086855533 red Neutral
Human -0.319049783160807 -0.481956619193964 grey Negative
Robot 0.970367140543007 -1.47231065976234 red Positive
Robot -0.824580225289095 4.03798208140632 grey Neutral
Human 1.39598667882542 0.644059379463925 grey Neutral
Robot -0.943505605455856 2.15485544305668 grey Positive
Human 3.29202249721522 -2.0186848873977 grey Negative
Robot 0.88487393575958 -1.39350699616058 grey Negative
Robot -1.954445542984 2.81755623449075 red Neutral
Human -2.56327981948753 -1.13101180748685 grey Negative
Human 1.56934727120808 -2.55811375523736 grey Neutral
Human -0.530793013951329 -1.78510172519345 grey Positive
Human 0.791774015876156 -0.0650587466140765 grey Neutral
Robot -2.46129794536496 2.34834686313796 grey Neutral
Robot -0.531229235191339 1.79870287441732 grey Negative
Robot 2.39606572520392 -0.0761767582885796 grey Positive
Robot -0.250504775469158 -1.86127880445601 grey Positive
Human -2.30491364104985 -0.19999002923641 grey Negative
Human -0.332328682438902 -3.12802463641859 grey Neutral
Human -0.14186104981715 -2.2241417889117 grey Neutral
Human 0.537112349053999 -2.11834300999921 red Neutral
Robot 2.75974654444818 -1.1934767751215 grey Negative
Robot -1.84196619782721 -0.321045864386244 grey Neutral
Robot -2.09912177147859 1.94764027827433 red Neutral
Human -2.06724632868658 0.394088114022764 grey Positive
Robot -0.608974176812318 0.878946882156358 grey Neutral
Robot -1.85866173093591 -0.872473946016023 grey Positive
Robot -2.43713612048693 2.03760188436855 grey Negative
Robot -0.469568622574928 -2.78803616503864 grey Neutral
Human 1.86759159927739 0.400334311393572 red Neutral
Robot -0.393312587205598 3.14701531211612 grey Neutral
Robot 0.271439326717088 -1.22855355029584 grey Neutral
Human 2.35345925210028 -0.825152350696117 grey Neutral
Human 2.02632240039381 0.290844834428373 grey Neutral
Human 1.66085893567953 -2.50249774707518 grey Neutral
Human 0.63203803001555 -1.03175271692604 grey Positive
Human 0.719044915312004 -1.41573193561153 red Neutral
Robot -1.26454933137856 2.09835996942534 blue Neutral
Human 1.02334497901901 -1.68746381015671 blue Neutral
Human 1.93911891499845 -0.250724148096975 grey Negative
Robot 2.82551292210276 -1.05723322573244 grey Neutral
Robot -1.4108707104932 -1.09797357880207 grey Positive
Robot -0.143928566726293 2.0368595494028 grey Neutral
Human -0.0944658065245583 -1.58708921769157 grey Neutral
Human -0.124184575344126 -1.71666354744488 grey Positive
Robot -2.935969100766 2.88146191386511 blue Neutral
Human 1.19802384589254 -0.0239780998824558 grey Neutral
Human 0.298975899661911 0.495297434629303 red Negative
Robot -0.31858709264192 3.88456368038667 grey Neutral
Human 0.595294093848768 -1.17580143805136 grey Negative
Human 0.648251973512698 -1.12750591007957 grey Neutral
Robot -0.0875479800443812 2.51910972769044 grey Negative
Human -3.10286055256319 3.43211502119703 grey Neutral
Human 2.29668102696167 -0.575450791450913 grey Neutral
Robot -0.584421381883709 1.82753206446522 grey Positive
Human -1.12987214572219 -0.298148869386677 grey Positive
Robot 0.645261723473831 -2.89505203487426 red Neutral
Human 0.998673906906819 -0.244771544871715 grey Neutral
Human 2.14295051544488 -0.541351550847948 grey Negative
Human -0.0322284601806591 -1.23695405860266 blue Negative
Human 0.286006239049883 0.281576748090781 grey Neutral
Human 2.20159686745011 -2.34782253824528 grey Neutral
Human 1.30160850399923 0.08963971153401 grey Neutral
Human 0.676945600371997 -1.01314081282288 grey Neutral
Robot -1.96851842292323 3.24243094864721 grey Neutral
Human -1.82586653228204 -1.7434148240072 grey Positive
Human -1.80509216452382 0.457007670121592 grey Neutral
Human 0.790429672016893 -0.49363771712788 grey Positive
Human -1.48570144969772 -2.21502131717368 grey Neutral
Human 0.927062146903417 -0.0605603297284002 grey Negative
Human 0.153479430051055 1.24013747252022 red Neutral
Human -0.100817277704826 -0.749012083750124 grey Positive
Human 0.883887148429006 -1.34169941521834 grey Negative
Robot -1.89083735506263 3.70386675022414 grey Neutral
Human 2.69723423310951 -0.472878254421402 grey Neutral
Human -1.73114404740122 -0.884430745557483 grey Negative
Robot -1.93333647446637 2.23255542652687 grey Neutral
Robot -0.817812196120764 2.23017796774217 grey Negative
Human 2.31550974004231 -1.10873806602796 grey Neutral
Human -0.357663402988211 -2.79007188123153 grey Neutral
Human 1.29331717675155 -1.8972386949902 grey Positive
Robot -0.439982471585118 -2.21108479455038 grey Neutral
Robot -1.44084534627689 -1.04706461467529 grey Neutral
Human -0.297090230275283 -1.07131555933474 grey Negative
Human 2.6205414733858 -0.260438403753961 grey Neutral
Robot -0.693020454888021 4.06520160309704 red Negative
Human -4.03236394520219 2.12470792054133 grey Positive
Human 2.71005124018649 1.08356398205625 grey Neutral
Human 1.11126389430885 0.0442910519052804 grey Neutral
Robot -1.79400652876709 1.20634909587314 red Neutral
Human 0.241508404291654 1.49506574033059 red Neutral
Human -0.929646088294914 1.73365069532042 grey Neutral
Human 1.09793251509603 0.121536354644606 blue Neutral
Robot 1.26126229936371 -1.88785582871221 red Positive
Robot -1.09662986515994 -0.39943843677656 grey Positive
Human 1.92405495384465 -1.00116416902982 grey Neutral
Robot -1.8176328127587 3.98909359982645 grey Negative
Robot -0.218423324131952 4.42864384913677 grey Neutral
Robot -2.27455444288001 3.06542145550147 grey Neutral
Human 1.90121399598358 -0.855014788795136 grey Neutral
Human 0.19237666896642 -0.773045313866413 grey Neutral
Robot 1.26214696829797 -1.47433869998104 grey Neutral
Robot -0.156986202718915 3.54780126224585 grey Positive
Human 0.616776836788946 -2.5537540481989 grey Neutral
Human 0.707272015076907 -1.35542320403585 grey Negative
Robot -1.12731996093009 3.22181438027397 grey Neutral
Human -3.91513375185169 -1.68901319262486 grey Neutral
Human 1.3502633355189 -0.117933638753076 grey Neutral
Human 1.22644726667885 0.578705156016337 grey Negative
Human 0.294970485829681 -1.63828300394306 grey Neutral
Human -0.603389119287506 -3.00368774167269 red Negative
Human 1.00441610125725 -0.440797543782322 grey Neutral
Robot -0.989873711552501 1.36127403064517 grey Neutral
Human -2.16384583597489 -0.456661479616803 grey Neutral
Robot 0.549993063489441 -1.20492932215561 grey Neutral
Human 1.77711232169539 0.400784325180398 grey Positive
Robot -2.26716566823355 4.04807617037739 grey Positive
Human 1.52252731288952 0.707763148411106 grey Neutral
Robot -1.90935735756418 -2.21758649711422 grey Neutral
Human 2.37609366621716 -1.0951322662166 grey Neutral
Robot -1.45766706126939 -1.99078286825607 red Neutral
Robot -1.54225672740334 0.139554013935896 red Neutral
Human 2.28873242100557 0.557889811519899 grey Neutral
Human 1.75631710618473 -0.394142706436844 grey Neutral
Robot 0.907742238147482 -0.19526414787179 red Neutral
Human 1.51696040823693 -2.41396608274169 grey Neutral
Robot -1.03008585052864 -0.403204513009375 grey Positive
Robot -1.04960941058963 -2.23765649846244 grey Negative
Robot -0.464545203720377 -0.958054556568472 grey Neutral
Robot -1.5053822585454 -1.77583845405942 grey Positive
Robot -1.65298012235424 1.77304510134979 grey Neutral
Human 0.651553456568346 -0.00583647616376803 grey Positive
Robot 1.69659305137268 -1.12789644870896 grey Neutral
Robot -1.73565059340783 -1.93234011553901 grey Neutral
Robot 1.19349173239618 0.313150409336427 red Neutral
Human 0.521251501573351 -1.01769505528939 grey Neutral
Robot 2.01790804977579 -1.44219491251893 grey Neutral
Human -0.494047202847064 0.63253437829652 grey Negative
Robot -0.575742977601017 -1.70688136731065 grey Neutral
Robot -1.48225860434639 2.93687996457745 grey Negative
Robot 0.348205390022285 3.92435468350377 grey Positive
Robot 1.94858946387099 -1.5802099864064 blue Positive
Human 1.75328622970475 -1.18520944487345 grey Positive
Human 1.82868350338829 -0.00242634990914481 grey Neutral
Human -1.45222097091038 0.538609326577681 grey Positive
Robot -1.64296911910349 -3.06635404115824 grey Positive
Human 2.2897478477719 -1.03712034955486 grey Negative
Human -0.842605534828452 -2.3522967931698 grey Neutral
Human -0.666847659405343 0.0737853831860036 red Positive
Human 1.45802522494747 -1.527727266205 grey Neutral
Human -1.95409522408769 0.247288970742839 grey Neutral
Human 0.746532148047409 -0.308739877224334 grey Positive
Robot -1.06769155579237 -1.22976751312974 grey Negative
Robot -1.96511873535918 1.82062808223501 grey Negative
Robot -2.09082260193865 3.45960748561807 grey Negative
Robot 0.10610086301356 0.459747185635678 grey Neutral
Human 2.13550241426802 -0.12205108967936 grey Positive
Human 0.83307855220337 -0.959842470094354 grey Positive
Human 0.94967496213977 -0.619032096210285 grey Positive
Human -3.05055159054444 -0.553583613258695 grey Negative
Robot -1.91979640967242 2.73934248229262 grey Neutral
Human 0.445773386080573 0.128975530717272 grey Neutral
Human 0.158357938062572 -0.573090465296805 grey Neutral
Robot -1.43288756204776 1.10754724180658 grey Neutral
Robot -1.16800339940597 0.995980270079508 grey Neutral
Human -1.81197926419264 -1.99380141196764 grey Negative
Robot -1.29684502367448 -1.07950767018727 grey Neutral
Human -0.738200032291311 -1.55739791662274 grey Neutral
Human 1.6377979117075 -1.6935842966232 grey Neutral
Human -0.0041922060106101 -1.85361804312532 red Neutral
Human 0.382202089309947 -0.648428809314711 grey Neutral
Robot -1.5746922274144 0.599752587687224 red Neutral
Human -0.785999645845638 -0.660452531630063 grey Neutral
Human -0.234015336741386 -1.01548592117256 grey Neutral
Robot 2.29209217377734 0.113344265197033 grey Neutral
Robot -1.55886098883444 -0.608886634379684 grey Neutral
Robot -1.26706634013229 0.277685973468395 grey Positive
Robot -2.31190058785754 2.92311207534636 grey Negative
Human -2.38839552814673 -1.19548575993101 grey Positive
Human 0.927627327514173 -2.04315179967434 grey Negative
Robot -1.91985104529515 2.38328413858616 blue Negative
Human 0.97861962645212 0.0254761016132437 grey Positive
Human 1.89672645631806 -0.467739265488241 grey Negative
Robot -0.81883065147861 -1.15082555716831 grey Neutral
Robot -0.89544540357022 2.11753721979926 grey Neutral
Human 0.848895481148348 -2.03264925681764 grey Positive
Robot -2.4813475183692 -2.83777322062169 grey Neutral
Robot 0.0088094587606149 1.72782619649385 grey Neutral
Robot -1.08812329638902 -0.575467482442467 grey Positive
Robot 2.12714408939963 -0.817281701408723 grey Neutral
Robot -1.4772612577458 4.49049660805686 grey Positive
Human -1.26943625845475 -0.959182966725527 red Negative
Human 2.03475019695021 0.500038623567613 grey Negative
